ID fire,ID definition,definition,canton,ID municipality,municipality code,municipality,ID current municipality,current municipality code,current municipality,start date,ID accuracy start date,accuracy start date,date end of fire,ID accuracy end date,accuracy end date,start date (solar time),end date (solar time),locality,coordinates_y,coordinates_x,ID accuracy coordinates,accuracy coordinates,altitude [m asl],ID exposition,exposition,slope [%],forest [ha],grassland [ha],nonproductive [ha],total [ha],cause,other cause,ID cause reliability,cause reliability,start_date_min,start_date_max,end_date_min,end_date_max,duration_min,duration_max,longitude,latitude,abbreviation,closest_station_distance,foehn_minutes_24_hour_before,foehn_minutes_48_hour_before,foehn_minutes_during_2_hours_after_start_of_fire,FF_mean_during_2_hours_after_start_of_fire,FFX_mean_during_2_hours_after_start_of_fire,FFX_q75_during_2_hours_after_start_of_fire,FFX_q90_during_2_hours_after_start_of_fire,foehn_minutes_during_6_hours_after_start_of_fire,FF_mean_during_6_hours_after_start_of_fire,FFX_mean_during_6_hours_after_start_of_fire,FFX_q75_during_6_hours_after_start_of_fire,FFX_q90_during_6_hours_after_start_of_fire,foehn_minutes_during_12_hours_after_start_of_fire,FF_mean_during_12_hours_after_start_of_fire,FFX_mean_during_12_hours_after_start_of_fire,FFX_q75_during_12_hours_after_start_of_fire,FFX_q90_during_12_hours_after_start_of_fire,fire_regime,ID Cause,foehn_variant,decade
198002262101,1,forest fire,TI,11882,5002,Bellinzona,16078,5002,Bellinzona,1980-02-26 13:45:00,1.0,minute,1980-02-26 17:00:00,1.0,minute,1980-02-26 13:45:00,1980-02-26 17:00:00,Roncaa,722120.978596366,116851.90312268352,,,,,,,0.05,0.0,0.0,0.05,unknown,,1.0,sure,1980-02-26 13:45:00,1980-02-26 13:45:00,1980-02-26 17:00:00,1980-02-26 17:00:00,3.25,3.25,9.020587052646215,46.19204946207511,MAG,106541.47053929458,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198002262102,1,forest fire,TI,12735,5074,Mairengo,15685,5072,Faido,1980-02-26 13:00:00,1.0,minute,1980-02-26 17:30:00,1.0,minute,1980-02-26 13:00:00,1980-02-26 17:30:00,sopra Raslina/Ruine Osco,703100.0,149520.0,,,920.0,1.0,S,80.0,1.0,0.5,0.0,1.5,"private (tourists, hickers,thrown cigarettes,other)",,1.0,sure,1980-02-26 13:00:00,1980-02-26 13:00:00,1980-02-26 17:30:00,1980-02-26 17:30:00,4.500000000000001,4.500000000000001,8.781485291632512,46.48905606441006,PIO,56941.16481070615,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198002262103,1,forest fire,TI,10916,5230,Vernate,10916,5230,Vernate,1980-02-26 17:30:00,1.0,minute,1980-02-26 19:30:00,1.0,minute,1980-02-26 17:30:00,1980-02-26 19:30:00,zona Santa Maria,711320.0,95040.0,,,660.0,4.0,NW,25.0,2.0,0.0,0.0,2.0,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed,1980-02-26 17:30:00,1980-02-26 17:30:00,1980-02-26 19:30:00,1980-02-26 19:30:00,2.0,2.0,8.875532995673872,45.99774625429485,LUG,98322.18559918203,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198002262104,1,forest fire,TI,12751,5041,Malvaglia,15509,5050,Serravalle,1980-02-26 15:00:00,1.0,minute,1980-02-26 17:30:00,1.0,minute,1980-02-26 15:00:00,1980-02-26 17:30:00,Ponte di Dentro,719275.0,140100.0,,,640.0,3.0,W,25.0,1.0,0.0,0.0,1.0,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed,1980-02-26 15:00:00,1980-02-26 15:00:00,1980-02-26 17:30:00,1980-02-26 17:30:00,2.5,2.5,8.98968283697169,46.40164906140069,PIO,153199.47040704807,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198002272101,1,forest fire,TI,12379,5259,Muggio,14974,5269,Breggia,1980-02-27 18:00:00,1.0,minute,1980-02-28 11:00:00,1.0,minute,1980-02-27 18:00:00,1980-02-28 11:00:00,Castegna,723000.0,86140.0,,,960.0,2.0,SW,70.0,7.0,6.0,0.0,13.0,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed,1980-02-27 18:00:00,1980-02-27 18:00:00,1980-02-28 11:00:00,1980-02-28 11:00:00,17.000000000000004,17.000000000000004,9.023935404467874,45.91568004346794,LUG,122019.84502530724,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198002292101,1,forest fire,TI,11882,5002,Bellinzona,16078,5002,Bellinzona,1980-02-29 07:00:00,1.0,minute,1980-02-29 09:30:00,1.0,minute,1980-02-29 07:00:00,1980-02-29 09:30:00,Ronchi di Daro,722120.978596366,116851.90312268352,,,,,,,0.05,0.0,0.0,0.05,unknown,,1.0,sure,1980-02-29 07:00:00,1980-02-29 07:00:00,1980-02-29 09:30:00,1980-02-29 09:30:00,2.5,2.5,9.020587052646215,46.19204946207511,MAG,93730.3585233136,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198003022101,1,forest fire,TI,10880,5227,Torricella-Taverne,10880,5227,Torricella-Taverne,1980-03-02 01:00:00,1.0,minute,1980-03-02 18:00:00,1.0,minute,1980-03-02 01:00:00,1980-03-02 18:00:00,Alborello-Cima Val Barberina,713600.0,102480.0,,,920.0,8.0,SE,45.0,1.0,1.0,5.0,7.0,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed,1980-03-02 01:00:00,1980-03-02 01:00:00,1980-03-02 18:00:00,1980-03-02 18:00:00,17.000000000000004,17.000000000000004,8.906751823685081,46.06428097568332,LUG,29051.884431134586,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198003032102,1,forest fire,TI,12623,5189,Lamone,12623,5189,Lamone,1980-03-03 19:40:00,1.0,minute,1980-03-04 00:00:00,1.0,minute,1980-03-03 19:40:00,1980-03-04 00:00:00,Motto di Grumo,715140.0,100100.0,,,330.0,6.0,NE,70.0,2.0,0.0,0.0,2.0,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed,1980-03-03 19:40:00,1980-03-03 19:40:00,1980-03-04 00:00:00,1980-03-04 00:00:00,4.333333333333334,4.333333333333334,8.926066315206462,46.04261483732161,LUG,147665.91948719922,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198003102101,1,forest fire,TI,12346,5256,Monte,12346,5256,Monte,1980-03-10 11:30:00,1.0,minute,1980-03-10 15:30:00,1.0,minute,1980-03-10 11:30:00,1980-03-10 15:30:00,Monte,723200.0,82380.0,,,700.0,8.0,SE,75.0,1.0,1.5,0.0,2.5,"private (tourists, hickers,thrown cigarettes,other)",,1.0,sure,1980-03-10 11:30:00,1980-03-10 11:30:00,1980-03-10 15:30:00,1980-03-10 15:30:00,4.0,4.0,9.025532844228492,45.88182857493954,LUG,125103.4063205315,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198003122101,1,forest fire,TI,11386,5099,Cavigliano,15627,5396,Terre di Pedemonte,1980-03-12 13:25:00,1.0,minute,1980-03-12 15:00:00,1.0,minute,1980-03-12 13:25:00,1980-03-12 15:00:00,Sotto Sabbioni,698100.0,115240.0,,,300.0,1.0,S,54.0,0.3,0.0,0.0,0.3,"private (tourists, hickers,thrown cigarettes,other)",,1.0,sure,1980-03-12 13:25:00,1980-03-12 13:25:00,1980-03-12 15:00:00,1980-03-12 15:00:00,1.5833333333333333,1.5833333333333333,8.70914517096701,46.18147862132708,OTL,27670.666995936328,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
