ID fire,ID Cause
198509242301,2.000000000000000
199010232301,2.000000000000000
199406302301,1.000000000000000
199507222301,1.000000000000000
199509292301,2.000000000000000
199605072301,2.000000000000000
201809172301,1.000000000000000
201809212303,1.000000000000000
200306120401,1.000000000000000
200306180401,2.000000000000000
200509080401,1.000000000000000
200609130401,1.000000000000000
200611270401,1.000000000000000
200807150401,1.000000000000000
200905280402,1.000000000000000
201307060401,1.000000000000000
198805271801,1.000000000000000
200407301801,2.000000000000000
200408011801,1.000000000000000
200506181701,1.000000000000000
201307271801,2.000000000000000
201507241801,2.000000000000000
201605061701,1.000000000000000
201708211701,1.000000000000000
198307300201,1.000000000000000
199805190201,1.000000000000000
200305190201,1.000000000000000
200306240201,1.000000000000000
200306260201,1.000000000000000
200306260202,1.000000000000000
200611280201,1.000000000000000
200705020201,1.000000000000000
201211210201,2.000000000000000
201309290201,1.000000000000000
201310050201,2.000000000000000
201311020201,1.000000000000000
201707050202,1.000000000000000
198105012101,1.000000000000000
198111252101,1.000000000000000
198111252102,1.000000000000000
198111292101,1.000000000000000
198205012101,1.000000000000000
198205112101,1.000000000000000
198306162102,1.000000000000000
198307292103,2.000000000000000
198311112101,1.000000000000000
198311252101,1.000000000000000
198405082101,1.000000000000000
198405102102,1.000000000000000
198406202101,1.000000000000000
198407282101,1.000000000000000
198407292104,1.000000000000000
198408042102,2.000000000000000
198505012102,1.000000000000000
198505032101,1.000000000000000
198505062101,1.000000000000000
198507032101,1.000000000000000
198510152102,1.000000000000000
198510192102,1.000000000000000
198510252101,1.000000000000000
198607242101,1.000000000000000
198611072101,1.000000000000000
198705082102,1.000000000000000
198910222101,1.000000000000000
198910272101,1.000000000000000
199008062101,2.000000000000000
199009182101,1.000000000000000
199011172101,1.000000000000000
199011182101,1.000000000000000
199107182102,1.000000000000000
199108062101,2.000000000000000
199109082102,1.000000000000000
199109112101,1.000000000000000
199207232101,1.000000000000000
199308212101,1.000000000000000
199308232101,1.000000000000000
199408032102,1.000000000000000
199408092101,2.000000000000000
199507192101,1.000000000000000
199605312101,1.000000000000000
199710192101,1.000000000000000
199811102101,1.000000000000000
199811212101,1.000000000000000
199906202101,1.000000000000000
200306222101,1.000000000000000
200406122101,2.000000000000000
200406302101,1.000000000000000
200407132101,1.000000000000000
200407262101,2.000000000000000
200407302101,1.000000000000000
200411242101,1.000000000000000
200505052101,1.000000000000000
200606152101,1.000000000000000
200611102101,1.000000000000000
200705122101,1.000000000000000
200708012103,1.000000000000000
200708012105,1.000000000000000
201005232101,1.000000000000000
201108252101,2.000000000000000
201511232101,1.000000000000000
198105082101,1.000000000000000
198108282101,1.000000000000000
198109102101,2.000000000000000
198111292102,1.000000000000000
198305092101,1.000000000000000
198306072101,1.000000000000000
198308092102,1.000000000000000
198308142101,1.000000000000000
198308152102,1.000000000000000
198310042101,1.000000000000000
198311192101,2.000000000000000
198406162101,1.000000000000000
198406232101,1.000000000000000
198407172104,1.000000000000000
198407212102,1.000000000000000
198407272103,1.000000000000000
198408032101,1.000000000000000
198408181851,2.000000000000000
198505042101,1.000000000000000
198508222101,1.000000000000000
198509092101,1.000000000000000
198705032101,1.000000000000000
198705032102,1.000000000000000
198705302101,2.000000000000000
198706011853,2.000000000000000
198708012101,1.000000000000000
198808012101,2.000000000000000
198808012103,1.000000000000000
198808012105,1.000000000000000
198905062102,1.000000000000000
198908012113,1.000000000000000
198908012118,1.000000000000000
198908022103,1.000000000000000
199006031851,1.000000000000000
199008052101,2.000000000000000
199108042102,1.000000000000000
199108072101,1.000000000000000
199108302101,1.000000000000000
199308012102,1.000000000000000
199408172101,1.000000000000000
199408182101,1.000000000000000
199511052102,1.000000000000000
199511072101,1.000000000000000
199705302101,2.000000000000000
199811132101,1.000000000000000
200307222101,1.000000000000000
200406152101,1.000000000000000
200506282101,2.000000000000000
200508012102,1.000000000000000
200511112101,1.000000000000000
200607242101,2.000000000000000
200707182101,1.000000000000000
200808022101,2.000000000000000
200907012101,2.000000000000000
198509232301,1.000000000000000
199406232301,1.000000000000000
200206162301,1.000000000000000
200208222301,1.000000000000000
200208222302,1.000000000000000
200309192301,1.000000000000000
200805272301,1.000000000000000
201409082301,1.000000000000000
201410082301,1.000000000000000
201610232301,1.000000000000000
201707152301,1.000000000000000
201711112301,1.000000000000000
201807232301,1.000000000000000
198011192101,1.000000000000000
198111232101,1.000000000000000
198205012102,1.000000000000000
198306132101,1.000000000000000
198308102101,1.000000000000000
198407292101,1.000000000000000
198407292102,1.000000000000000
198408012105,1.000000000000000
198507032102,1.000000000000000
198510102102,1.000000000000000
198510132102,1.000000000000000
198510192101,1.000000000000000
198607022101,1.000000000000000
198610242101,1.000000000000000
198610272101,1.000000000000000
198611062101,1.000000000000000
198711222101,1.000000000000000
198907242101,1.000000000000000
198908012114,1.000000000000000
198908012120,1.000000000000000
198908052101,1.000000000000000
198910032102,1.000000000000000
198910072101,1.000000000000000
198910142101,1.000000000000000
198910282101,1.000000000000000
198910282102,1.000000000000000
199005082101,1.000000000000000
199007272101,2.000000000000000
199008112101,2.000000000000000
199008122101,1.000000000000000
199011162103,1.000000000000000
199107162101,1.000000000000000
199108252101,1.000000000000000
199208032101,1.000000000000000
199208252101,1.000000000000000
199408242101,1.000000000000000
199507222101,2.000000000000000
199508182101,1.000000000000000
199606152101,1.000000000000000
199708012101,2.000000000000000
199708012107,1.000000000000000
199805202101,1.000000000000000
200007252101,1.000000000000000
200308152101,1.000000000000000
200407272102,1.000000000000000
200407282101,2.000000000000000
200505302101,1.000000000000000
