ID fire,ID definit,definition,canton,ID municip,municipali,municipa_1,ID current,current mu,current _1,start date,ID accurac,accuracy s,date end o,ID accur_1,accuracy e,start da_1,end date (,locality,coordinate,coordina_1,ID accur_2,accuracy c,altitude [m asl],ID exposit,exposition,slope [%],forest [ha],grassland,nonproduct,total [ha],ID Cause,cause,other caus,ID cause r,cause reli,start_date_min,start_date_max,end_date_min,end_date_max,duration_min,duration_max,longitude,latitude,TEZGNR1000,abbreviation,name,longitude_,latitude_2,altitude (,y_LV03,x_LV03,recording_foehn_since,foehn_variant,foehn_minutes_24_hour_before,foehn_minutes_48_hour_before,foehn_minutes_during_2_hours_after_start_of_fire,FF_mean_during_2_hours_after_start_of_fire,FFX_mean_during_2_hours_after_start_of_fire,FFX_q75_during_2_hours_after_start_of_fire,FFX_q90_during_2_hours_after_start_of_fire,foehn_minutes_during_6_hours_after_start_of_fire,FF_mean_during_6_hours_after_start_of_fire,FFX_mean_during_6_hours_after_start_of_fire,FFX_q75_during_6_hours_after_start_of_fire,FFX_q90_during_6_hours_after_start_of_fire,foehn_minutes_during_12_hours_after_start_of_fire,FF_mean_during_12_hours_after_start_of_fire,FFX_mean_during_12_hours_after_start_of_fire,FFX_q75_during_12_hours_after_start_of_fire,FFX_q90_during_12_hours_after_start_of_fire,fire_regime,potential_foehn_species,decade
200509080401,1,forest fire,UR,12238,1206,Erstfeld,12238,1206,Erstfeld,9/8/2005 13:15,1,minute,9/8/2005 15:15,1,minute,9/8/2005 12:15,9/8/2005 14:15,Wilerlaui,692700.0,184400.0,4.0,< 50 m,700.0,7.0,E,60.0,0.01,0.0,0.0,0.01,1.0,unknown,,0.0,supposed,2005-09-08 12:15:00,9/8/2005 12:15,9/8/2005 14:15,9/8/2005 14:15,2.0,2.0,8.653082403,46.80430276,130439.0,ALT,Altdorf,8.616666667,46.88333333,438.0,690180.0,193564.0,1/1/1981,south,590.0,2030.0,120.0,37.04166666666666,64.56666666666666,68.5,69.7,360.0,34.111111111111114,58.775000000000006,64.27499999999999,68.6,720.0,30.626388888888894,53.02777777777778,56.95,64.8,,South foehn,"[2000, 2009]"
200609130401,1,forest fire,UR,10442,1220,Wassen,10442,1220,Wassen,9/13/2006 14:10,1,minute,9/13/2006 15:45,1,minute,9/13/2006 13:10,9/13/2006 14:45,Meiggelen / Wattingen,688425.0,172425.0,4.0,< 50 m,970.0,7.0,E,80.0,0.01,0.0,0.0,0.01,1.0,unknown,,0.0,supposed,2006-09-13 13:10:00,9/13/2006 13:10,9/13/2006 14:45,9/13/2006 14:45,1.583333333,1.583333333,8.594773275,46.69717524,130439.0,ALT,Altdorf,8.616666667,46.88333333,438.0,690180.0,193564.0,1/1/1981,south,0.0,0.0,0.0,8.241666666666665,16.283333333333335,16.9,20.77,230.0,21.211111111111112,36.675,49.075,53.1,590.0,27.690277777777776,48.644444444444446,59.875,65.39,,South foehn,"[2000, 2009]"
200611270401,1,forest fire,UR,12032,1208,Göschenen,12032,1208,Göschenen,11/27/2006 13:30,1,minute,11/28/2006 14:00,1,minute,11/27/2006 13:30,11/28/2006 14:00,Roten-Fluh,688050.0,169500.0,4.0,< 50 m,1200.0,1.0,S,80.0,0.2,0.0,0.0,0.2,1.0,unknown,,0.0,supposed,2006-11-27 13:30:00,11/27/2006 13:30,11/28/2006 14:00,11/28/2006 14:00,24.5,24.5,8.589310137,46.67091578,130439.0,ALT,Altdorf,8.616666667,46.88333333,438.0,690180.0,193564.0,1/1/1981,south,0.0,1200.0,0.0,3.975,7.558333333333334,10.8,11.79,0.0,3.575,6.175000000000001,8.7,10.6,0.0,3.3777777777777778,6.3277777777777775,9.0,10.4,,South foehn,"[2000, 2009]"
200807150401,1,forest fire,UR,12952,1214,Seedorf (UR),12952,1214,Seedorf (UR),7/15/2008 8:00,1,minute,7/15/2008 13:00,1,minute,7/15/2008 7:00,7/15/2008 12:00,Plattenberg,687300.0,195500.0,4.0,< 50 m,920.0,8.0,SE,40.0,0.02,0.0,0.0,0.02,1.0,unknown,,0.0,supposed,2008-07-15 07:00:00,7/15/2008 7:00,7/15/2008 12:00,7/15/2008 12:00,5.0,5.0,8.584471712,46.90487016,130439.0,ALT,Altdorf,8.616666667,46.88333333,438.0,690180.0,193564.0,1/1/1981,south,0.0,0.0,0.0,1.2333333333333334,5.633333333333333,6.199999999999999,7.760000000000001,0.0,6.691666666666666,12.53611111111111,17.8,22.15,0.0,11.393055555555556,18.28333333333333,24.9,28.8,,South foehn,"[2000, 2009]"
200905280402,1,forest fire,UR,11773,1201,Altdorf (UR),11773,1201,Altdorf (UR),5/28/2009 10:45,1,minute,5/28/2009 15:30,1,minute,5/28/2009 9:45,5/28/2009 14:30,"Eggbergen, Moosbadwald, Folle, nähe Seilbahn",691300.0,194800.0,3.0,50-500 m,,2.0,SW,,,,,0.01,1.0,unknown,,,,2009-05-28 09:45:00,5/28/2009 9:45,5/28/2009 14:30,5/28/2009 14:30,4.75,4.75,8.636824534,46.89803686,130439.0,ALT,Altdorf,8.616666667,46.88333333,438.0,690180.0,193564.0,1/1/1981,south,0.0,30.0,0.0,4.325,8.375,8.75,10.1,0.0,3.894444444444445,7.347222222222222,8.3,9.4,0.0,4.770833333333333,8.79861111111111,10.5,14.76,,South foehn,"[2000, 2009]"
201307060401,1,forest fire,UR,12981,1217,Sisikon,12981,1217,Sisikon,7/6/2013 22:20,1,minute,7/6/2013 22:50,1,minute,7/6/2013 21:20,7/6/2013 21:50,,690016.1549,200483.4536,4.0,< 50 m,,,,,,,,0.01,1.0,unknown,,0.0,supposed,2013-07-06 21:20:00,7/6/2013 21:20,7/6/2013 21:50,7/6/2013 21:50,0.5,0.5,8.621102282,46.94933019,130439.0,ALT,Altdorf,8.616666667,46.88333333,438.0,690180.0,193564.0,1/1/1981,south,0.0,0.0,0.0,1.958333333333333,3.6583333333333337,4.05,5.76,0.0,1.5972222222222223,3.080555555555556,3.6,4.3,0.0,2.094444444444445,3.9402777777777778,4.7,7.6,,South foehn,"[2010, 2019]"
198805271801,1,forest fire,GR,14328,3926,Maladers,16028,3926,Maladers,5/27/1988 11:45,1,minute,5/27/1988 18:00,1,minute,5/27/1988 10:45,5/27/1988 17:00,"Spainis, Plessur",760950.0,189250.0,3.0,50-500 m,695.0,2.0,SW,93.0,,,,0.5,1.0,unknown,,1.0,sure,1988-05-27 10:45:00,5/27/1988 10:45,5/27/1988 17:00,5/27/1988 17:00,6.25,6.25,9.548584058,46.83491747,130005.0,CHU,Chur,9.533333333,46.86666667,556.0,759466.0,193153.0,1/1/1981,south,0.0,0.0,0.0,15.01,26.18,29.725,30.67,0.0,10.429411764705884,19.47058823529412,22.6,28.87,0.0,9.04,17.12857142857143,19.8,26.6,,South foehn,"[1980, 1989]"
200407301801,1,forest fire,GR,14207,3632,Feldis/Veulden,16064,3673,Domleschg,7/30/2004 20:00,1,minute,8/1/2004 12:00,1,minute,7/30/2004 19:00,8/1/2004 11:00,,752500.0,185250.0,,,1532.0,4.0,NW,102.0,0.3,0.0,0.0,0.3,1.0,unknown,,0.0,supposed,2004-07-30 19:00:00,7/30/2004 19:00,8/1/2004 11:00,8/1/2004 11:00,40.0,40.0,9.436523647,46.80093773,130005.0,CHU,Chur,9.533333333,46.86666667,556.0,759466.0,193153.0,1/1/1981,south,0.0,0.0,0.0,12.841666666666669,22.741666666666664,24.05,25.79,0.0,6.019444444444444,11.858333333333334,20.6,23.4,0.0,5.294444444444443,10.523611111111112,14.1,21.89,,South foehn,"[2000, 2009]"
200408011801,1,forest fire,GR,14249,3722,Domat/Ems,15994,3722,Domat/Ems,8/1/2004 15:00,1,minute,8/1/2004 20:00,1,minute,8/1/2004 14:00,8/1/2004 19:00,,751275.0,188125.0,,,670.0,5.0,N,36.0,0.05,0.0,0.0,0.05,1.0,unknown,,0.0,supposed,2004-08-01 14:00:00,8/1/2004 14:00,8/1/2004 19:00,8/1/2004 19:00,5.0,5.0,9.421433859,46.82707067,130005.0,CHU,Chur,9.533333333,46.86666667,556.0,759466.0,193153.0,1/1/1981,south,0.0,0.0,0.0,17.950000000000003,32.075,34.175,35.3,0.0,15.994444444444447,28.55555555555556,32.875,35.3,0.0,9.175,17.194444444444443,29.275,33.46,,South foehn,"[2000, 2009]"
200506181701,1,forest fire,SG,14411,3291,Bad Ragaz,14411,3291,Bad Ragaz,6/18/2005 18:00,2,hour,6/18/2005 20:00,2,hour,6/18/2005 17:00,6/18/2005 19:00,Obermatels,754483.0,208778.0,4.0,< 50 m,795.0,6.0,NE,,0.07,0.0,0.0,0.07,1.0,unknown,,,,2005-06-18 17:00:00,6/18/2005 17:59,6/18/2005 19:00,6/18/2005 19:59,1.016666667,2.983333333,9.470474535,47.01205082,130005.0,CHU,Chur,9.533333333,46.86666667,556.0,759466.0,193153.0,1/1/1981,south,0.0,0.0,0.0,20.433333333333334,39.958333333333336,42.2,42.77,0.0,16.041666666666664,31.54444444444444,40.3,42.3,0.0,8.38888888888889,17.233333333333334,34.775,40.66,,South foehn,"[2000, 2009]"
